"RatingPeriod","UserID","Username","GlobalRank","PP","RME","RMERanking","Location","RegistrationDate","Games"
2023-01-01,9367417,"-Ryn-",14957,7872.58,2033.43090993385,1,"Vietnam","2016-12-04 03:13:55+00:00",36
2023-01-01,6781232,"Shocola",27620,6863.52,1773.0265378096,2,"Malaysia","2015-07-17 10:10:06+00:00",16
2023-01-01,15858332,"Steakdose123",2941,10612.5,1768.74861836084,3,"Germany","2019-12-28 01:03:38+00:00",30
2023-01-01,12941954,"Sabakan-",2550,10862.7,1768.3626167609,4,"Japan","2018-08-22 05:07:36+00:00",21
2023-01-01,10910261,"Hu_Ai",14272,7953.83,1764.8522875419,5,"Malaysia","2017-09-27 10:03:59+00:00",16
2023-01-01,7989469,"Zefkiel",33695,6538.35,1760.25391328622,6,"Taiwan","2016-02-24 11:26:17+00:00",16
2023-01-01,11021073,"baoo",516,13790.6,1754.46967504275,7,"Vietnam","2017-10-18 14:59:06+00:00",12
2023-01-01,18948749,"t4hN",3652,10247.7,1734.65501530662,8,"Vietnam","2020-10-19 10:00:54+00:00",18
2023-01-01,11234706,"ZeitFrost",856,12861.2,1732.7558292242,9,"Germany","2017-11-26 14:54:27+00:00",22
2023-01-01,12805967,"Lukiii",608,13510,1732.69648951013,10,"Germany","2018-08-05 14:33:52+00:00",11
2023-01-01,4383303,"Kokuban",826,12938.2,1732.4163373043,11,"Germany","2014-05-11 20:24:12+00:00",11
2023-01-01,11889106,"Ruination",15983,7760.56,1730.37472438926,12,"Malaysia","2018-03-11 02:49:27+00:00",16
2023-01-01,10542491,"-Kiyoko-",9273,8654.88,1721.38152896121,13,"Vietnam","2017-07-22 11:12:17+00:00",18
2023-01-01,22461441,"3BDOOO",10179,8511.6,1713.26734907865,14,"Saudi Arabia","2021-04-06 06:40:55+00:00",9
2023-01-01,13972957,"furytail",12313,8202.38,1709.57194484679,15,"United Kingdom","2019-02-20 17:46:52+00:00",15
2023-01-01,18781432,"EPEMA",4237,10013.7,1707.1740439648,16,"Ukraine","2020-10-05 12:46:27+00:00",12
2023-01-01,2165650,"mcy4",51,18346.1,1705.35310649268,17,"Hong Kong","2012-12-08 08:33:38+00:00",9
2023-01-01,9098192,"jakk",30905,6681.87,1703.70862149159,18,"United Kingdom","2016-10-08 07:40:19+00:00",20
2023-01-01,11688228,"updraft",4329,9977.02,1701.3195274813,19,"Vietnam","2018-02-05 14:18:55+00:00",11
2023-01-01,4755314,"FlashoFoSho",919,12704.1,1694.12182680283,20,"United States","2014-08-06 15:28:10+00:00",10
2023-01-01,14977562,"axyb",1227,12237.5,1693.96944282564,21,"Vietnam","2019-08-12 10:46:20+00:00",9
2023-01-01,16320893,"-Dever",7387,9038.4,1690.15214096786,22,"Denmark","2020-03-03 14:40:31+00:00",15
2023-01-01,7373182,"[Winter]",15640,7799.02,1684.64838608711,23,"Malaysia","2015-11-06 12:51:40+00:00",16
2023-01-01,16128060,"Meownomia",52954,5797.45,1680.81812745024,24,"Vietnam","2020-02-05 05:22:39+00:00",32
2023-01-01,6303313,"Mathyu",458,14005.7,1679.64770765987,25,"United States","2015-04-10 23:30:51+00:00",8
2023-01-01,14030856,"Sonocchoz",17742,7586.39,1678.1666099256,26,"Vietnam","2019-03-03 07:08:52+00:00",10
2023-01-01,10143086,"hotcat190",5935,9426.5,1676.00199686394,27,"Vietnam","2017-05-02 14:36:32+00:00",12
2023-01-01,17958319,"Treedwards",20257,7370.4,1672.73571806156,28,"Malaysia","2020-08-03 12:03:47+00:00",16
2023-01-01,13310147,"Uzumaki",2951,10608,1671.01048479616,29,"United States","2018-10-24 21:04:19+00:00",10
2023-01-01,5413624,"Hibiki",1194,12284.7,1652.25002027737,30,"Hong Kong","2014-12-24 13:28:57+00:00",9
2023-01-01,9074108,"Steckdose123",1731,11556.5,1649.62799842497,31,"Germany","2016-10-02 09:39:52+00:00",12
2023-01-01,23988536,"IiIy",26033,6959,1634.41072884085,32,"Vietnam","2021-06-10 14:52:12+00:00",17
2023-01-01,19884809,"ajmosca",25091,7020.61,1633.76387733412,33,"United States","2020-12-17 04:53:08+00:00",7
2023-01-01,6790404,"[Geno]",18593,7510.3,1628.85283274929,34,"Vietnam","2015-07-19 03:01:20+00:00",10
2023-01-01,14053835,"dragonlemmy",22161,7222.41,1628.46355505175,35,"Malaysia","2019-03-07 13:22:00+00:00",16
2023-01-01,16227745,"F2X",464,13962.9,1626.74374666293,36,"Hong Kong","2020-02-19 10:34:55+00:00",9
2023-01-01,4571123,"Mighty Paws",552,13678,1620.92708461593,37,"Poland","2014-06-24 15:49:47+00:00",5
2023-01-01,16094871,"hvke",560,13658.7,1619.73280833169,38,"Vietnam","2020-01-31 15:16:38+00:00",11
2023-01-01,6643511,"tplc",12609,8162.79,1616.61642025316,39,"Germany","2015-06-20 22:11:43+00:00",12
2023-01-01,13767572,"Saiyku",43,18671.7,1613.04384803168,40,"New Zealand","2019-01-15 08:02:09+00:00",4
2023-01-01,5449433,"Ui chan",3212,10466.8,1612.7510805862,41,"Vietnam","2014-12-30 12:17:01+00:00",5
2023-01-01,6025925,"-Private",34207,6513.68,1612.74831776443,42,"Malaysia","2015-02-18 08:00:28+00:00",16
2023-01-01,3929529,"mniminwoo",697,13253.1,1607.17642711521,43,"United States","2014-01-25 19:40:35+00:00",8
2023-01-01,11194087,"Ixcors",68621,5372.94,1606.688249396,44,"Singapore","2017-11-19 15:15:48+00:00",8
2023-01-01,7717845,"Avery",28106,6834.79,1606.00624139921,45,"United States","2016-01-08 23:24:31+00:00",7
2023-01-01,14953642,"Phoeni_",1711,11574.9,1602.99173599215,46,"Vietnam","2019-08-08 11:26:43+00:00",6
2023-01-01,13281473,"Antti",51091,5857.16,1602.4707873008,47,"Finland","2018-10-19 15:36:57+00:00",4
2023-01-01,13467691,"Naiwo",916,12709.5,1601.70665542419,48,"Germany","2018-11-23 17:11:09+00:00",22
2023-01-01,8699021,"Mitoharu",11661,8288.79,1597.592458417,49,"Taiwan","2016-07-13 16:26:31+00:00",4
2023-01-01,11405734,"Bijou Koseki",5271,9629.14,1597.18443925572,50,"Peru","2017-12-25 03:50:28+00:00",4
2023-01-01,9938943,"aknzx",11,20572.8,1595.96938461037,51,"Australia","2017-03-23 09:03:42+00:00",4
2023-01-01,26796620,"ver2ice",81529,5088.5,1595.3608305035,52,"Russian Federation","2021-10-26 15:58:39+00:00",4
2023-01-01,15846736,"-Jayden",22039,7230.53,1591.95082085033,53,"Germany","2019-12-26 14:46:11+00:00",4
2023-01-01,16748549,"Thinhhhh",21381,7281.57,1591.33344656732,54,"Vietnam","2020-04-16 13:08:12+00:00",27
2023-01-01,20087811,"Jolly Ranchers",8888,8722.09,1588.10956322961,55,"Canada","2020-12-29 03:14:53+00:00",5
2023-01-01,19364028,"Stormur",3356,10396.2,1584.38142832252,56,"United Kingdom","2020-11-15 01:32:48+00:00",15
2023-01-01,9523661,"Tabletti",2599,10826,1576.80935837597,57,"Finland","2017-01-04 16:53:35+00:00",6
2023-01-01,10634348,"EthantrixV2",1610,11701.9,1574.99249806856,58,"United States","2017-08-08 21:17:07+00:00",10
2023-01-01,14472389,"Scrn",61344,5555.88,1574.62553304412,59,"Poland","2019-05-14 15:58:38+00:00",7
2023-01-01,11255340,"FlatPaper",8699,8757.09,1573.12324282608,60,"Canada","2017-11-30 18:42:38+00:00",4
2023-01-01,17911347,"Toshee",24415,7065.98,1568.32536276013,61,"Vietnam","2020-07-30 13:07:36+00:00",3
2023-01-01,13381374,"zak1e",7116,9099.94,1567.71315070799,62,"Vietnam","2018-11-07 12:35:43+00:00",16
2023-01-01,11119010,"lizzzil",1743,11547,1566.06062982155,63,"Japan","2017-11-06 04:29:24+00:00",9
2023-01-01,6036351,"M I L E S",1554,11759.4,1563.7697512093,64,"United States","2015-02-20 00:33:58+00:00",3
2023-01-01,13516784,"Dreaming-",23082,7158.43,1563.27543318146,65,"Malaysia","2018-12-02 05:56:43+00:00",16
2023-01-01,13826244,"aiyern",33619,6543.06,1562.63481148609,66,"Vietnam","2019-01-25 12:50:04+00:00",7
2023-01-01,8726490,"souljaboytellem",6105,9376.43,1562.61197421064,67,"Ireland","2016-07-19 17:37:14+00:00",5
2023-01-01,8077264,"Yowmoo",61216,5559.69,1561.28026796409,68,"Indonesia","2016-03-12 07:26:12+00:00",5
2023-01-01,9560694,"DuoX",16924,7664.68,1559.32952346964,69,"Malaysia","2017-01-11 11:57:37+00:00",2
2023-01-01,11718072,"TobseN",1997,11304.5,1557.69690822794,70,"Germany","2018-02-10 14:11:38+00:00",20
2023-01-01,23180405,"Meagan",54045,5763.57,1556.91763460857,71,"Australia","2021-05-05 07:19:56+00:00",4
2023-01-01,17405526,"Farees on osu",27225,6886.7,1556.8558841939,72,"Malaysia","2020-06-15 15:12:04+00:00",2
2023-01-01,17979410,"Aoi Hinami",92783,4874.76,1555.96190936352,73,"Indonesia","2020-08-05 03:23:59+00:00",7
2023-01-01,13141032,"Liz to Aoi Tori",6637,9228.29,1554.12437989188,74,"Vietnam","2018-09-23 09:40:34+00:00",11
2023-01-01,12125203,"Mugi94",36487,6408.53,1553.81347601628,75,"France","2018-04-20 18:30:08+00:00",6
2023-01-01,9834366,"ashwagafu",24229,7077.79,1553.54886332828,76,"Philippines","2017-03-04 04:00:11+00:00",3
2023-01-01,12537417,"Hydrole",5569,9536.53,1551.53368641855,77,"United States","2018-06-25 05:08:47+00:00",2
2023-01-01,2541804,"kymotsujason",21118,7303.01,1551.21852971622,78,"Canada","2013-04-14 05:22:27+00:00",3
2023-01-01,10701875,"s0me",9683,8584.11,1550.73826907225,79,"Vietnam","2017-08-20 13:06:51+00:00",16
2023-01-01,10676573,"Birchman",5834,9455.41,1550.38202342306,80,"Canada","2017-08-16 04:41:49+00:00",2
2023-01-01,9323821,"hedayo",5155,9663.66,1549.61396559264,81,"Poland","2016-11-25 18:33:39+00:00",3
2023-01-01,10290641,"EulaFootEnjoyer",11052,8381.32,1549.23688301001,82,"Germany","2017-06-01 16:05:25+00:00",12
2023-01-01,9091312,"masi paws",3178,10482.4,1548.90821199645,83,"Poland","2016-10-06 17:37:20+00:00",5
2023-01-01,8364754,"waste-",1966,11332.9,1547.01641722788,84,"Norway","2016-05-06 14:02:28+00:00",2
2023-01-01,14897088,"wooting",745,13135.7,1546.74496516581,85,"Germany","2019-07-28 14:06:00+00:00",9
2023-01-01,6867478,"Buszek",9143,8676.65,1546.63485001566,86,"Poland","2015-08-02 15:51:21+00:00",3
2023-01-01,19755259,"quizzz_",6206,9350.76,1546.19072138624,87,"Russian Federation","2020-12-09 06:36:27+00:00",6
2023-01-01,11189164,"Ryshult",53150,5791.88,1545.79854706355,88,"France","2017-11-18 21:16:49+00:00",3
2023-01-01,20118070,"idiot stick",39477,6280.5,1545.79036551321,89,"United States","2020-12-30 20:53:07+00:00",9
2023-01-01,12607463,"BeHot",9324,8647.23,1545.73415700995,90,"Russian Federation","2018-07-07 02:17:14+00:00",5
2023-01-01,14054383,"Bingo6",4510,9898.35,1545.28754287302,91,"Germany","2019-03-07 15:14:47+00:00",12
2023-01-01,8581210,"LightsOut",162,16059.2,1544.82913564353,92,"United States","2016-06-19 05:38:07+00:00",3
2023-01-01,18793670,"Sylliant",30078,6723.23,1544.76929897313,93,"United States","2020-10-06 16:05:18+00:00",5
2023-01-01,24323283,"kimi_7",6224,9346.26,1543.77446372176,94,"Malaysia","2021-06-28 02:10:17+00:00",13
2023-01-01,6567244,"Yes",24982,7027.03,1543.44173970273,95,"Finland","2015-06-05 17:05:11+00:00",3
2023-01-01,2696838,"potwur",1816,11488.9,1543.43687522136,96,"Poland","2013-05-24 18:28:15+00:00",4
2023-01-01,10958852,"qstronaut",1920,11383,1542.5430519575,97,"Singapore","2017-10-06 12:47:53+00:00",7
2023-01-01,8455034,"Inequality",13673,8031.85,1541.95799099523,98,"Malaysia","2016-05-24 23:52:19+00:00",16
2023-01-01,11488178,"veryasian",4637,9841.1,1541.42245992092,99,"United States","2018-01-06 00:10:31+00:00",9
2023-01-01,14509964,"Hoshizora_3",38099,6335.8,1540.34914463299,100,"Taiwan","2019-05-20 10:55:46+00:00",4
2023-01-01,20630250,"Stage my mommy",18269,7537.17,1540.05658561384,101,"United States","2021-01-27 11:33:07+00:00",3
2023-01-01,16407150,"Hearn",41454,6199.2,1539.6905,102,"Indonesia","2020-03-15 06:26:28+00:00",2
2023-01-01,9984860,"Yue0429",11352,8335.78,1539.26364236048,103,"Taiwan","2017-04-01 11:56:50+00:00",9
2023-01-01,14024115,"zivxare",1210,12264.7,1538.83781512605,104,"United States","2019-03-02 06:50:12+00:00",2
2023-01-01,16492414,"Chokeezi",15938,7764.69,1538.30785572896,105,"South Africa","2020-03-24 09:01:28+00:00",4
2023-01-01,14139392,"Bazingasdead",1044,12501.8,1537.96360889757,106,"United States","2019-03-22 10:11:52+00:00",3
2023-01-01,10350809,"iamanewb",15854,7774.54,1537.93191219732,107,"United States","2017-06-13 19:50:31+00:00",2
2023-01-01,14452800,"Mystrality",9960,8543.21,1537.44443537731,108,"United Kingdom","2019-05-11 23:56:07+00:00",14
2023-01-01,12048072,"The Flower Man",23976,7093.65,1537.32418873768,109,"Vietnam","2018-04-07 13:44:26+00:00",11
2023-01-01,10119186,"namirin2",6390,9299.53,1536.91288608606,110,"Vietnam","2017-04-28 05:49:56+00:00",10
2023-01-01,4830687,"BoshyMan741",326,14655.6,1536.90911597265,111,"United States","2014-08-23 03:59:52+00:00",13
2023-01-01,10640078,"DancoreDanny",18562,7513.03,1536.88898934519,112,"United States","2017-08-09 19:37:08+00:00",3
2023-01-01,14293652,"Low budget Mosa",14900,7882.14,1536.84997643089,113,"Germany","2019-04-17 14:11:32+00:00",10
2023-01-01,11299201,"Zexblu",41054,6215.1,1534.05003836074,114,"South Africa","2017-12-08 07:14:11+00:00",3
2023-01-01,8105655,"-Vid",1504,11811.3,1533.63965805612,115,"Germany","2016-03-17 18:51:10+00:00",2
2023-01-01,15184992,"Summer_Ouo",10685,8434.77,1531.89533626056,116,"Taiwan","2019-09-14 16:39:30+00:00",4
2023-01-01,3999831,"_ Freedom _",1628,11677.4,1530.91740305923,117,"Vietnam","2014-02-11 15:02:20+00:00",9
2023-01-01,17847877,"yukixo",8002,8899.86,1530.62622796348,118,"Philippines","2020-07-25 07:30:50+00:00",4
2023-01-01,12148238,"Rumit",2117,11214.2,1530.36477325425,119,"Mongolia","2018-04-24 09:26:32+00:00",1
2023-01-01,12143654,"Umee",3961,10126.7,1530.27016376542,120,"Vietnam","2018-04-23 13:29:15+00:00",9
2023-01-01,14497638,"1233a",65387,5451.68,1530.24940993167,121,"China","2019-05-18 13:27:12+00:00",2
2023-01-01,11554464,"MintyDude",1804,11499.1,1530.18632964088,122,"United Kingdom","2018-01-15 18:15:17+00:00",1
2023-01-01,10908786,"Haydosu",4484,9906.36,1530.12831428571,123,"Australia","2017-09-26 23:24:47+00:00",1
2023-01-01,9919528,"zombir",2103,11225.4,1530.10236720474,124,"Russian Federation","2017-03-19 07:49:53+00:00",1
2023-01-01,11821951,"Perfectity",67782,5393.87,1530.09554055869,125,"United States","2018-02-27 21:19:00+00:00",1
2023-01-01,12959983,"antonyw",4997,9717.57,1530.05413553256,126,"Norway","2018-08-24 20:39:02+00:00",1
2023-01-01,14533605,"Ayaneruuu",10771,8424.17,1530.04894096342,127,"Hong Kong","2019-05-24 13:56:40+00:00",1
2023-01-01,8085085,"Aniwazan",23890,7098.85,1530.03199560511,128,"Russian Federation","2016-03-13 11:30:33+00:00",1
2023-01-01,3115283,"Scheinii",1374,12016.9,1530.01485777379,129,"Germany","2013-08-12 11:38:56+00:00",1
2023-01-01,14916935,"rwnd_",2444,10935.1,1530.01383572736,130,"Philippines","2019-08-01 10:35:15+00:00",1
2023-01-01,8788058,"Jakson",233,15311.4,1530.00714285714,131,"United States","2016-08-01 17:54:28+00:00",1
2023-01-01,16322235,"01Pekora",61292,5557.8,1530,132,"Argentina","2020-03-03 18:12:47+00:00",1
2023-01-01,24840779,"Walisbad",119048,4448.41,1530,133,"Vietnam","2021-07-21 08:33:59+00:00",1
2023-01-01,10891105,"NiZY",3713,10226.4,1529.99100826878,134,"Lithuania","2017-09-23 14:54:55+00:00",4
2023-01-01,12207972,"Benisuzume",17615,7598.36,1529.98271852414,135,"Argentina","2018-05-04 10:33:37+00:00",1
2023-01-01,1195423,"[KOR]Kosaki",2173,11166.1,1529.98249685553,136,"South Korea","2011-11-07 08:24:13+00:00",1
2023-01-01,18513363,"morimori",34211,6513.6,1529.96167316024,137,"Japan","2020-09-14 15:33:27+00:00",1
2023-01-01,9425864,"Devrimon",13625,8036.77,1529.95002805296,138,"Netherlands","2016-12-16 16:59:39+00:00",1
2023-01-01,757783,"Garalulu",7467,9019.39,1529.91886610424,139,"South Korea","2011-03-25 01:21:22+00:00",1
2023-01-01,13084548,"majmunee",28825,6793.56,1529.90876765081,140,"North Macedonia","2018-09-13 15:12:23+00:00",1
2023-01-01,8359561,"Jeong Woo Yeong",157,16098.8,1529.88893693805,141,"South Korea","2016-05-05 10:04:24+00:00",1
2023-01-01,11415687,"Kurumiw",74,17354,1529.88794641098,142,"Brazil","2017-12-26 15:35:17+00:00",1
2023-01-01,8832359,"GameDragon36",1453,11879.6,1529.87994664392,143,"South Korea","2016-08-11 05:16:44+00:00",1
2023-01-01,13538530,"Loreriv",20174,7377.03,1529.73522997531,144,"Italy","2018-12-06 13:26:57+00:00",4
2023-01-01,7657831,"justman",175,15858.5,1529.73505189087,145,"France","2015-12-29 15:38:09+00:00",1
2023-01-01,9526124,"tights",11607,8295.97,1529.35499734459,146,"United States","2017-01-05 01:22:31+00:00",1
2023-01-01,1906975,"Hellotomlol225",2728,10742.9,1529.29124208516,147,"Hong Kong","2012-09-09 03:30:15+00:00",5
2023-01-01,11836334,"Nev-",573,13623.8,1529.28191722788,148,"Finland","2018-03-02 15:40:11+00:00",2
2023-01-01,11234664,"MyAngelFable",36704,6398.34,1529.21167316024,149,"Malaysia","2017-11-26 14:47:27+00:00",1
2023-01-01,8315885,"Xyphox",21274,7290.02,1529.13511480528,150,"Philippines","2016-04-26 01:40:19+00:00",3
2023-01-01,16359841,"floppaosu",40914,6221.01,1528.93656573175,151,"Belgium","2020-03-08 18:10:25+00:00",2
2023-01-01,4209818,"Skyzie",10273,8497.37,1528.69565668524,152,"United States","2014-04-01 00:28:39+00:00",1
2023-01-01,14800198,"stone_bream",9722,8576.94,1528.66398651527,153,"Japan","2019-07-10 12:46:03+00:00",1
2023-01-01,11227346,"Mestre",9828,8561.36,1528.46167316024,154,"Brazil","2017-11-25 13:54:41+00:00",1
2023-01-01,24190187,"Chou Tzuyoda",87830,4964.72,1528.34793179377,155,"Philippines","2021-06-21 07:35:56+00:00",2
2023-01-01,4980135,"Behwall",4880,9759.47,1528.24959849983,156,"South Korea","2014-09-28 05:15:59+00:00",1
2023-01-01,5281485,"iFakeRz",1751,11542.8,1528.09479931693,157,"Germany","2014-11-28 20:05:16+00:00",1
2023-01-01,3016611,"[ baka 3b ]",3580,10284.3,1528.01306836461,158,"China","2013-07-25 14:38:40+00:00",1
2023-01-01,17584785,"-Leito-",16269,7731.14,1527.83986138128,159,"Argentina","2020-07-01 22:09:47+00:00",1
2023-01-01,12160299,"kitty_mix",48154,5957.01,1527.83134036963,160,"Russian Federation","2018-04-26 13:58:58+00:00",12
2023-01-01,15232819,"dainotwibu",45456,6049.31,1527.72238731942,161,"Vietnam","2019-09-22 14:39:07+00:00",9
2023-01-01,4637369,"Petit",496,13861.4,1527.58249685553,162,"South Korea","2014-07-10 08:28:58+00:00",1
2023-01-01,27673466,"Xiawni",13382,8065.97,1527.50876765081,163,"France","2021-12-11 11:04:00+00:00",1
2023-01-01,16858397,"kanagava",6792,9182.28,1527.41150685924,164,"Russian Federation","2020-04-26 10:31:41+00:00",4
2023-01-01,8788898,"Shiragi",2965,10600,1527.40616212161,165,"Germany","2016-08-01 21:43:33+00:00",1
2023-01-01,139670,"Vendemmia",747,13129,1527.19159337697,166,"South Korea","2009-07-22 07:07:53+00:00",1
2023-01-01,11237739,"DeHosly",58400,5637.16,1527.1495113785,167,"Russian Federation","2017-11-27 02:51:51+00:00",5
2023-01-01,24025848,"Worcester",19370,7439.87,1527.10427348635,168,"Indonesia","2021-06-12 13:43:07+00:00",1
2023-01-01,10458639,"Sandron",1217,12249.3,1526.94447246789,169,"Russian Federation","2017-07-05 12:22:19+00:00",1
2023-01-01,15274893,"Lirumin",1537,11779.1,1526.88794641098,170,"Brazil","2019-09-29 19:54:44+00:00",1
2023-01-01,11405263,"Fametime",115,16573,1526.47773109244,171,"United States","2017-12-25 00:59:30+00:00",1
2023-01-01,6085929,"Sliimex3",2526,10878.4,1526.21979931693,172,"Germany","2015-02-28 18:23:19+00:00",1
2023-01-01,6960689,"KayoNar",32758,6585.53,1526.21167316024,173,"Netherlands","2015-08-20 08:55:38+00:00",1
2023-01-01,13744487,"Goold",3870,10163.5,1525.69700423842,174,"Colombia","2019-01-11 17:24:01+00:00",1
2023-01-01,17795498,"young tplc",13604,8039.91,1525.54894096342,175,"Germany","2020-07-20 19:31:36+00:00",1
2023-01-01,8170022,"Tutka",6432,9285.21,1525.51548469917,176,"Poland","2016-03-29 15:00:46+00:00",4
2023-01-01,4560592,"NoGari",10490,8464.82,1525.46167316024,177,"South Korea","2014-06-22 03:17:20+00:00",1
2023-01-01,8004317,"wick",2006,11301.3,1525.43875091717,178,"Singapore","2016-02-27 06:02:18+00:00",1
2023-01-01,2767636,"Justin Vega",32450,6601.31,1525.39895338854,179,"United States","2013-06-07 21:03:41+00:00",1
2023-01-01,12585858,"Laplus Darkness",2399,10979.3,1525.04881378013,180,"Hong Kong","2018-07-03 10:57:14+00:00",2
2023-01-01,12442952,"XardasIG4",102321,4708.75,1524.96690199214,181,"Germany","2018-06-09 23:33:37+00:00",5
2023-01-01,2844779,"boterham",10722,8429.96,1524.95002805296,182,"Netherlands","2013-06-22 11:48:36+00:00",1
2023-01-01,15868788,"[ NekuRo ]",57673,5657.57,1524.79746646944,183,"Taiwan","2019-12-29 12:43:41+00:00",1
2023-01-01,19568517,"silversnax",11357,8335.38,1524.76745867301,184,"Russian Federation","2020-11-27 21:05:36+00:00",7
2023-01-01,11740073,"dyereflection",3467,10333.1,1524.7396127292,185,"United States","2018-02-14 00:18:00+00:00",1
2023-01-01,9146185,"siroitora",26968,6903.95,1524.72018673512,186,"South Korea","2016-10-18 22:44:47+00:00",1
2023-01-01,9527862,"Nibl",36798,6394.43,1524.71167316024,187,"Netherlands","2017-01-05 10:46:46+00:00",1
2023-01-01,18889109,"OracleOnOSU",113131,4537.03,1524.31041547654,188,"Indonesia","2020-10-14 14:08:47+00:00",1
2023-01-01,3601553,"2popte",49446,5911.52,1524.08027206986,189,"United States","2013-11-16 03:54:24+00:00",1
2023-01-01,2955661,"kenny03316",18281,7536.19,1524.04894096342,190,"Hong Kong","2013-07-15 03:45:22+00:00",1
2023-01-01,3149577,"Coreanmaluco",161,16060.8,1523.88794641098,191,"Brazil","2013-08-18 22:13:55+00:00",1
2023-01-01,9294147,"howtoplay",2023,11286.4,1523.78657773105,192,"Serbia","2016-11-19 05:33:55+00:00",1
2023-01-01,10343292,"Zeph2003",10207,8509.06,1523.66229511342,193,"Malaysia","2017-06-12 03:26:57+00:00",1
2023-01-01,9701942,"[Snow",7882,8925.46,1523.55414709557,194,"Argentina","2017-02-07 05:15:59+00:00",1
2023-01-01,16194429,"TheGoHan",4454,9919.23,1523.47629281275,195,"Germany","2020-02-14 16:51:17+00:00",9
2023-01-01,13648653,"GSDark",1597,11714,1523.46164761905,196,"Singapore","2018-12-26 08:10:33+00:00",1
2023-01-01,626094,"marshallracer",84712,5025.57,1523.42971475197,197,"Germany","2010-12-31 13:54:32+00:00",4
2023-01-01,15264880,"Laan",35473,6455.16,1523.42443185022,198,"Germany","2019-09-28 12:15:09+00:00",3
2023-01-01,11536421,"zfr",10533,8458.54,1523.42093141052,199,"United States","2018-01-13 06:26:26+00:00",1
2023-01-01,23000056,"kln",25964,6962.58,1523.33333333333,200,"France","2021-04-27 20:18:27+00:00",1
2023-01-01,17454289,"Oddloop enjoyer",2459,10926.3,1523.21327997725,201,"Poland","2020-06-19 20:16:46+00:00",1
2023-01-01,10618530,"paziita",49084,5923.94,1523.12992588257,202,"Chile","2017-08-06 02:59:41+00:00",7
